No. Data Points,Actual,cep,ecl-c,ecl-nc,lpv,rrlyr,All
-100 < 0,ecl-c,0,0,0,65,0,65
-100 < 0,ecl-nc,0,0,0,32,0,32
-100 < 0,lpv,0,0,0,34,0,34
-100 < 0,rrlyr,0,0,0,26,0,26
0 < 100,cep,641,24,27,23,52,767
0 < 100,ecl-c,37,5701,3188,1024,418,10368
0 < 100,ecl-nc,43,2038,8531,1038,373,12023
0 < 100,lpv,24,643,791,10778,84,12320
0 < 100,rrlyr,39,1130,562,245,6014,7990
100 < 200,cep,237,29,14,98,22,400
100 < 200,ecl-c,158,7699,1910,2426,423,12616
100 < 200,ecl-nc,48,1519,9151,3039,174,13931
100 < 200,lpv,8,453,593,6332,37,7423
100 < 200,rrlyr,47,1004,517,638,1087,3293
1000 < 1100,cep,43,0,0,0,8,51
1000 < 1100,ecl-c,0,0,0,0,3,3
1000 < 1100,ecl-nc,0,0,0,1,1,2
1000 < 1100,lpv,0,0,0,297,2,299
1000 < 1100,rrlyr,4,0,0,2,649,655
1100 < 1200,cep,16,0,0,1,6,23
1100 < 1200,ecl-nc,1,0,0,0,0,1
1100 < 1200,lpv,0,0,0,214,3,217
1100 < 1200,rrlyr,3,1,0,0,433,437
1200 < 1300,cep,12,0,0,1,3,16
1200 < 1300,lpv,0,0,0,310,5,315
1200 < 1300,rrlyr,0,2,0,3,374,379
1300 < 1400,cep,3,0,0,1,4,8
1300 < 1400,ecl-c,0,3,0,0,1,4
1300 < 1400,ecl-nc,0,0,0,0,3,3
1300 < 1400,lpv,0,0,0,650,4,654
1300 < 1400,rrlyr,1,2,0,2,574,579
1400 < 1500,cep,0,0,0,0,2,2
1400 < 1500,ecl-c,0,0,0,0,12,12
1400 < 1500,ecl-nc,0,0,0,0,1,1
1400 < 1500,lpv,0,0,0,441,2,443
1400 < 1500,rrlyr,0,2,0,0,301,303
1500 < 1600,cep,1,0,0,0,0,1
1500 < 1600,lpv,0,0,0,27,0,27
1500 < 1600,rrlyr,0,0,0,1,50,51
1600 < 1700,cep,0,0,0,0,1,1
1600 < 1700,lpv,0,0,0,167,0,167
1600 < 1700,rrlyr,1,0,0,0,158,159
1700 < 1800,cep,0,0,0,0,1,1
1700 < 1800,lpv,0,0,0,124,1,125
1700 < 1800,rrlyr,0,0,0,2,78,80
1800 < 1900,lpv,0,0,0,78,0,78
1800 < 1900,rrlyr,0,0,0,0,55,55
1900 < 2000,lpv,0,0,0,11,0,11
1900 < 2000,rrlyr,0,0,0,2,11,13
200 < 300,cep,66,7,0,63,14,150
200 < 300,ecl-c,180,1456,107,1949,291,3983
200 < 300,ecl-nc,34,168,1173,2094,65,3534
200 < 300,lpv,9,35,88,2073,10,2215
