No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,contactBinary,detachedBinary,dsct,t2Cep,All
0 < 100,Mira,856,12,0,0,183,51,1833,18,0,194,3147
0 < 100,OSARG,0,383,0,6,25,5,12,2,0,1,434
0 < 100,RRab,27,0,103,14,12,93,4641,4,0,642,5536
0 < 100,RRc,6,0,4,44,3,9,1032,3,0,102,1203
0 < 100,SRV,1293,66,19,17,886,188,12875,51,0,3915,19310
0 < 100,clasCep,36,7,40,28,46,776,242,31,0,35,1241
0 < 100,contactBinary,122,106,2684,819,281,48,13084,5517,0,181,22842
0 < 100,detachedBinary,46,4,71,24,34,115,8694,3316,0,690,12994
0 < 100,dsct,0,0,3,0,3,3,306,0,0,27,342
0 < 100,t2Cep,4,1,0,0,1,6,98,0,0,307,417
100 < 200,Mira,961,0,0,0,4,0,13,0,0,4,982
100 < 200,OSARG,0,5390,0,0,263,0,3,0,0,0,5656
100 < 200,RRab,0,3,37,6,2,28,72,0,0,12,160
100 < 200,RRc,0,0,0,15,0,5,24,1,0,3,48
100 < 200,SRV,18,176,4,2,2648,30,825,2,0,77,3782
100 < 200,clasCep,0,1,1,3,2,1273,8,2,1,22,1313
100 < 200,contactBinary,2,34,92,45,4,7,735,271,1,11,1202
100 < 200,detachedBinary,3,0,8,7,0,38,173,143,0,28,400
100 < 200,dsct,0,1,0,0,0,0,12,0,2,3,18
100 < 200,t2Cep,0,4,0,0,1,26,5,1,0,208,245
1000 < 1100,Mira,175,0,0,0,0,0,0,0,0,0,175
1000 < 1100,RRab,0,0,24,0,0,0,0,0,0,0,24
1000 < 1100,RRc,0,0,1,5,0,0,0,0,0,0,6
1000 < 1100,SRV,0,0,0,0,2,0,0,0,0,0,2
1000 < 1100,contactBinary,0,0,0,0,0,0,1,0,0,0,1
1000 < 1100,dsct,0,0,0,0,0,0,0,0,142,0,142
1000 < 1100,t2Cep,0,0,0,0,0,0,0,0,0,2,2
10000 < 10100,RRab,0,0,3,0,0,0,0,0,0,0,3
10100 < 10200,RRab,0,0,4,0,0,0,0,0,0,0,4
10200 < 10300,RRab,0,0,2,0,0,0,0,0,0,0,2
10200 < 10300,RRc,0,0,0,2,0,0,0,0,0,0,2
10200 < 10300,detachedBinary,0,0,0,0,0,0,0,1,0,0,1
10300 < 10400,contactBinary,0,0,0,0,0,0,1,0,0,0,1
10400 < 10500,RRab,0,0,2,0,0,0,0,0,0,0,2
10400 < 10500,RRc,0,0,0,2,0,0,0,0,0,0,2
10400 < 10500,contactBinary,0,0,0,0,0,0,1,0,0,0,1
10500 < 10600,RRab,0,0,1,0,0,0,0,0,0,0,1
10500 < 10600,contactBinary,0,0,0,0,0,0,1,0,0,0,1
10500 < 10600,detachedBinary,0,0,0,0,0,0,0,1,0,0,1
10600 < 10700,RRab,0,0,2,0,0,0,0,0,0,0,2
10600 < 10700,RRc,0,0,0,1,0,0,0,0,0,0,1
10700 < 10800,RRab,0,0,4,0,0,0,0,0,0,0,4
10700 < 10800,RRc,0,0,0,1,0,0,0,0,0,0,1
10800 < 10900,RRab,0,0,1,0,0,0,0,0,0,0,1
10900 < 11000,RRab,0,0,3,0,0,0,0,0,0,0,3
10900 < 11000,RRc,0,0,0,3,0,0,0,0,0,0,3
1100 < 1200,Mira,130,0,0,0,0,0,0,0,0,1,131
1100 < 1200,RRab,0,0,10,0,0,0,0,0,0,0,10
1100 < 1200,RRc,0,0,2,7,0,0,0,0,0,0,9
1100 < 1200,SRV,0,0,0,0,3,0,0,0,0,0,3
1100 < 1200,contactBinary,0,0,0,0,0,0,1,0,0,0,1
1100 < 1200,detachedBinary,0,0,0,0,0,0,0,1,0,0,1
1100 < 1200,dsct,0,0,0,0,0,0,0,1,40,0,41
1100 < 1200,t2Cep,0,0,1,0,0,0,0,0,0,3,4
11000 < 11100,RRab,0,0,3,0,0,0,0,0,0,0,3
11000 < 11100,RRc,0,0,0,2,0,0,0,0,0,0,2
11100 < 11200,RRab,0,0,5,0,0,0,0,0,0,0,5
11100 < 11200,RRc,0,0,0,2,0,0,0,0,0,0,2
11200 < 11300,RRab,0,0,5,0,0,0,0,0,0,0,5
11300 < 11400,RRab,0,0,3,0,0,0,0,0,0,0,3
11300 < 11400,RRc,0,0,0,2,0,0,0,0,0,0,2
11400 < 11500,RRab,0,0,1,0,0,0,0,0,0,0,1
11400 < 11500,RRc,0,0,0,1,0,0,0,0,0,0,1
11500 < 11600,RRab,0,0,4,0,0,0,0,0,0,0,4
11600 < 11700,RRab,0,0,2,0,0,0,0,0,0,0,2
11600 < 11700,RRc,0,0,0,3,0,0,0,0,0,0,3
11600 < 11700,t2Cep,0,0,0,0,0,0,0,0,0,1,1
11700 < 11800,RRab,0,0,7,0,0,0,0,0,0,0,7
11700 < 11800,RRc,0,0,0,5,0,0,0,0,0,0,5
11700 < 11800,t2Cep,0,0,0,0,0,0,0,0,0,1,1
11800 < 11900,RRab,0,0,5,0,0,0,0,0,0,0,5
11800 < 11900,RRc,0,0,1,0,0,0,0,0,0,0,1
11900 < 12000,RRab,0,0,9,0,0,0,0,0,0,0,9
1200 < 1300,Mira,197,0,0,0,0,0,0,0,0,0,197
1200 < 1300,RRab,0,0,22,0,0,0,0,0,0,0,22
1200 < 1300,RRc,0,0,0,12,0,0,0,0,0,0,12
1200 < 1300,SRV,0,0,0,0,23,0,0,0,0,0,23
1200 < 1300,contactBinary,0,0,0,0,0,0,2,0,0,0,2
1200 < 1300,detachedBinary,0,0,1,0,0,0,0,2,0,0,3
1200 < 1300,dsct,0,1,1,0,0,0,1,0,23,0,26
1200 < 1300,t2Cep,1,0,0,0,0,0,0,0,0,3,4
12000 < 12100,RRab,0,0,9,0,0,0,0,0,0,0,9
12000 < 12100,RRc,0,0,0,4,0,0,0,0,0,0,4
12000 < 12100,contactBinary,0,0,0,0,0,0,1,0,0,0,1
12100 < 12200,RRab,0,0,10,0,0,0,1,0,0,1,12
12100 < 12200,RRc,0,0,0,2,0,0,0,0,0,0,2
12200 < 12300,RRab,0,0,6,0,0,0,0,0,0,0,6
12200 < 12300,RRc,0,0,0,4,0,0,0,0,0,0,4
12300 < 12400,RRab,0,0,11,0,0,0,0,0,0,1,12
12300 < 12400,RRc,0,0,0,2,0,0,0,0,0,0,2
12400 < 12500,RRab,0,0,8,0,0,0,1,0,0,0,9
12400 < 12500,RRc,0,0,0,3,0,0,0,0,0,0,3
12500 < 12600,RRab,0,0,15,0,0,0,0,0,0,0,15
12500 < 12600,RRc,0,0,0,8,0,0,0,0,0,0,8
12500 < 12600,contactBinary,0,0,0,0,0,0,1,0,0,0,1
12600 < 12700,RRab,0,0,13,0,0,0,0,0,0,0,13
12600 < 12700,RRc,0,0,2,9,0,0,0,0,0,0,11
12600 < 12700,t2Cep,0,0,0,0,0,0,0,0,0,3,3
12700 < 12800,RRab,0,0,120,1,0,0,0,0,0,0,121
12700 < 12800,RRc,0,0,0,52,0,0,0,0,0,0,52
12700 < 12800,detachedBinary,0,0,0,0,0,0,0,1,0,0,1
12700 < 12800,t2Cep,0,0,0,0,0,0,0,0,0,4,4
12800 < 12900,RRab,0,0,12,0,0,0,0,0,0,0,12
12800 < 12900,contactBinary,0,0,0,0,0,0,1,0,0,0,1
12900 < 13000,RRab,0,0,8,0,0,0,0,0,0,0,8
12900 < 13000,RRc,0,0,0,4,0,0,0,0,0,0,4
1300 < 1400,Mira,450,0,0,0,0,0,0,0,0,0,450
1300 < 1400,RRab,0,0,36,1,0,0,0,0,0,0,37
1300 < 1400,RRc,0,0,1,19,0,0,0,0,0,0,20
1300 < 1400,SRV,0,0,0,0,8,0,0,0,0,0,8
1300 < 1400,clasCep,0,0,1,0,0,0,0,0,0,0,1
1300 < 1400,contactBinary,0,0,0,0,0,0,3,0,0,0,3
1300 < 1400,dsct,0,0,1,0,0,0,1,0,15,0,17
1300 < 1400,t2Cep,0,0,0,0,0,0,0,0,0,3,3
13000 < 13100,RRab,0,0,10,0,0,0,0,0,0,0,10
13000 < 13100,RRc,0,0,0,6,0,0,0,0,0,0,6
13100 < 13200,RRab,0,0,34,0,0,0,0,0,0,0,34
13100 < 13200,RRc,0,0,0,16,0,0,0,0,0,0,16
13100 < 13200,t2Cep,0,0,0,0,0,0,0,0,0,1,1
13200 < 13300,RRab,0,0,12,0,0,0,0,0,0,0,12
13200 < 13300,RRc,0,0,0,2,0,0,0,1,0,0,3
13200 < 13300,t2Cep,0,0,1,0,0,0,0,0,0,0,1
13300 < 13400,RRab,0,0,13,0,0,0,0,0,0,0,13
13300 < 13400,RRc,0,0,0,2,0,0,0,0,0,0,2
13400 < 13500,RRab,0,0,7,0,0,0,0,0,0,0,7
13400 < 13500,RRc,0,0,0,5,0,0,0,0,0,0,5
13400 < 13500,t2Cep,0,0,0,0,0,0,0,0,0,1,1
13500 < 13600,RRab,0,0,14,0,0,0,0,0,0,0,14
13500 < 13600,RRc,0,0,1,6,0,0,0,0,0,0,7
